producto,marca,modelo,precio
Batería YTX14-BS,Yamaha,Super Ténéré 1200,185000
Batería YTX20L-BS,Harley Davidson,Sportster 1200,220000
Kit de arrastre 525,Suzuki,V-Strom 650,420000
Kit de arrastre 520,KTM,Duke 390,380000
Pastillas de freno Brembo delanteras,BMW,R 1250 GS,95000
Pastillas de freno traseras,Yamaha,MT-07,65000
Aceite Motul 5100 10W40,Universal,Todas,48000
Aceite Motul 7100 10W50,Universal,Alto cilindraje,62000
Filtro de aire K&N,Kawasaki,Ninja ZX-10R,185000
Filtro de aceite HiFlo,Honda,Africa Twin 1100,32000
Llanta Pirelli Angel GT II 120/70,Universal,Sport Touring,580000
Llanta Pirelli Scorpion Trail II 150/70,Universal,Adventure,620000
Cadena DID 525 VX3,Suzuki,GSX-S750,280000
Piñón delantero JT 16T,Yamaha,MT-09,45000
Corona trasera JT 45T,Kawasaki,Z900,85000
Maniguetas racing,Universal,Todas,120000
Slider de marco,Yamaha,R6,95000
Protector de motor,BMW,F 850 GS,350000
Baúl top case 42L,Universal,Todas,420000
Maletas laterales aluminio,Universal,Adventure,1250000
