id,marca,modelo,años,aceite_litros,aceite_spec,torque_filtro,cambio_aceite_km,llantas_psi,variantes,mantenimiento,fallas,created_at,marca_norm,modelo_norm
vstrom1000-gen1,Suzuki,V-Strom 1000 (Gen 1),2002–2013,3.4 L (con filtro),SAE 10W-40 JASO MA/MA2,20 Nm,6000,"{'delantera': 33, 'trasera_solo': 36}",,"[{'item': 'Aceite de motor', 'accion': 'Reemplazar', 'intervalo': '6,000 km'}, {'item': 'Reglaje de válvulas', 'accion': 'Inspección y ajuste — crítico', 'intervalo': '24,000 km'}, {'item': 'Conectores eléctricos', 'accion': 'Limpieza anti-sulfatación', 'intervalo': 'Cada revisión'}, {'item': 'Cadena', 'accion': 'Limpiar y tensar', 'intervalo': '1,000 km'}]","[{'nombre': 'Canasta de embrague', 'sintoma': 'Ruido y vibración excesiva', 'solucion': 'Mod Werks o reemplazo'}, {'nombre': 'Conectores eléctricos', 'sintoma': 'Fallos aleatorios y cortos', 'solucion': 'Limpieza con grasa dieléctrica (sulfatación frecuente)'}, {'nombre': 'Reglaje de válvulas', 'sintoma': 'Ruido tic-tic metálico', 'solucion': 'Ajuste a los 24,000 km o antes si hay sonido'}]",2026-07-12T19:39:13.14661+00:00,suzuki,v-strom 1000 (gen 1)
vstrom1000-gen2,Suzuki,V-Strom 1000A (Gen 2),2014–2019,3.2 L (con filtro),SAE 10W-40 JASO MA/MA2,20 Nm,6000,"{'delantera': 36, 'trasera_solo': 42}",,"[{'item': 'Aceite de motor', 'accion': 'Reemplazar', 'intervalo': '6,000 km'}, {'item': 'Filtro de aire', 'accion': 'Inspección / Cambio', 'intervalo': '12,000 km'}, {'item': 'Bujías', 'accion': 'Reemplazar', 'intervalo': '24,000 km'}, {'item': 'Batería', 'accion': 'Verificar CCA y voltaje', 'intervalo': 'Cada año'}, {'item': 'Cadena', 'accion': 'Limpiar y tensar', 'intervalo': '1,000 km'}]","[{'nombre': 'Sensor TPS', 'sintoma': 'Respuesta irregular de la mariposa', 'solucion': 'Reemplazo o recalibración en taller autorizado'}, {'nombre': 'Sistema eléctrico', 'sintoma': 'Fallos en electrónica con batería débil', 'solucion': 'Usar batería con alto CCA; verificar voltaje de carga'}]",2026-07-12T19:39:13.14661+00:00,suzuki,v-strom 1000a (gen 2)
sv650-2017,Suzuki,SV650,2017+,2.4 L (con filtro),SAE 10W-40 JASO MA/MA2,17 Nm,6000,"{'delantera': 33, 'trasera_solo': 42}",,"[{'item': 'Aceite de motor', 'accion': 'Reemplazar', 'intervalo': '6,000 km'}, {'item': 'Filtro de aire', 'accion': 'Inspección / Cambio', 'intervalo': '12,000 km'}, {'item': 'Bujías', 'accion': 'Reemplazar', 'intervalo': '24,000 km'}, {'item': 'Cadena', 'accion': 'Limpiar y tensar', 'intervalo': '1,000 km'}, {'item': 'Válvulas', 'accion': 'Inspección y ajuste', 'intervalo': '24,000 km'}]","[{'nombre': 'PAIR valve — popping', 'sintoma': 'Detonaciones en escape al cerrar gas', 'solucion': 'Bloqueo PAIR valve o reprogramación ECU Stage 1'}, {'nombre': 'Bomba de combustible', 'sintoma': 'Zumbido notable', 'solucion': 'Normal si zumba; alarma si deja de zumbar'}, {'nombre': 'Sensor TPS', 'sintoma': 'Respuesta irregular a bajas RPM en frío', 'solucion': 'Limpieza con limpiador electrónico o reemplazo'}]",2026-07-12T19:39:13.14661+00:00,suzuki,sv650
gsx-s750-2017,Suzuki,GSX-S750,2017–2021,3.4 L (con filtro),SAE 10W-40 JASO MA/MA2,17 Nm,6000,"{'delantera': 36, 'trasera_solo': 42}",,"[{'item': 'Aceite de motor', 'accion': 'Reemplazar', 'intervalo': '6,000 km'}, {'item': 'Filtro de aire', 'accion': 'Inspección / Cambio', 'intervalo': '12,000 km'}, {'item': 'Bujías', 'accion': 'Reemplazar (iridio recomendado)', 'intervalo': '24,000 km'}, {'item': 'Válvulas (DOHC)', 'accion': 'Inspección y ajuste', 'intervalo': '24,000 km'}, {'item': 'Cadena', 'accion': 'Limpiar y tensar', 'intervalo': '1,000 km'}]","[{'nombre': 'Vibración en manillar', 'sintoma': 'Vibración notable 4,000–5,000 RPM', 'solucion': 'Bar end weights aftermarket; verificar balanceo ruedas'}, {'nombre': 'Cadena desgaste rápido', 'sintoma': 'Cadena se alarga rápido', 'solucion': 'Lubricación cada 300–500 km; cadena DID 525 VX'}, {'nombre': 'Respuesta throttle brusco', 'sintoma': 'Tirones bruscos al abrir gas en Modo A', 'solucion': 'Usar Modo B para ciudad; reprogramación ECU Stage 1'}]",2026-07-12T19:39:13.14661+00:00,suzuki,gsx-s750
gsx-s1000-2021,Suzuki,GSX-S1000,2021+,3.7 L (con filtro),SAE 10W-40 JASO MA/MA2,17 Nm,6000,"{'delantera': 36, 'trasera_solo': 42}",,"[{'item': 'Aceite de motor', 'accion': 'Reemplazar', 'intervalo': '6,000 km'}, {'item': 'Filtro de aire', 'accion': 'Inspección / Cambio', 'intervalo': '12,000 km'}, {'item': 'Bujías', 'accion': 'Reemplazar (iridio recomendado)', 'intervalo': '24,000 km'}, {'item': 'Válvulas', 'accion': 'Inspección y ajuste', 'intervalo': '24,000 km'}, {'item': 'Cadena', 'accion': 'Limpiar y tensar', 'intervalo': '1,000 km'}]","[{'nombre': 'Temperatura en tráfico', 'sintoma': 'Calor elevado entre piernas en semáforo', 'solucion': 'Normal en 4C — reducir exposición a tráfico parado'}, {'nombre': 'Batería y electrónica', 'sintoma': 'Fallos en modos si batería < 12.4V', 'solucion': 'Sistema exigente — batería CCA alta y revisión anual'}, {'nombre': 'Quickshifter UP', 'sintoma': 'Cambios inconsistentes a bajas RPM', 'solucion': 'Requiere > 4,000 RPM para funcionar correctamente'}]",2026-07-12T19:39:13.14661+00:00,suzuki,gsx-s1000
hayabusa-gen3-2021,Suzuki,Hayabusa Gen3,2021+,3.5 L (con filtro),SAE 10W-40 JASO MA/MA2,20 Nm,6000,"{'nota': '190/50-17 trasera — no cambiar perfil (TCS calibrado)', 'delantera': 36, 'trasera_solo': 42}",,"[{'item': 'Aceite de motor', 'accion': 'Reemplazar', 'intervalo': '6,000 km'}, {'item': 'Filtro de aire', 'accion': 'Inspección / Cambio', 'intervalo': '12,000 km'}, {'item': 'Bujías', 'accion': 'Reemplazar (iridio recomendado)', 'intervalo': '24,000 km'}, {'item': 'Válvulas', 'accion': 'Inspección y ajuste', 'intervalo': '24,000 km'}, {'item': 'Cadena', 'accion': 'Limpiar y tensar', 'intervalo': '1,000 km'}]","[{'nombre': 'TCS — llantas no originales', 'sintoma': 'Intervención incorrecta del TCS', 'solucion': 'TCS calibrado para 190/50-17 — no cambiar perfil trasero'}, {'nombre': 'Sensores IMU — polvo', 'sintoma': 'Luz de fallo electrónico en carreteras polvorientas', 'solucion': 'Limpiar sensores IMU con paño suave — no agua a presión'}, {'nombre': 'Calor asiento en tráfico', 'sintoma': 'Temperatura alta debajo del asiento', 'solucion': 'Motor 1340cc genera calor considerable — normal'}]",2026-07-12T19:39:13.14661+00:00,suzuki,hayabusa gen3
yamaha-mt07-2021,Yamaha,MT-07,2021–presente,2.95 L (con filtro),SAE 10W-40 JASO MA/MA2,17 Nm,10000,"{'delantera': '33 PSI', 'trasera_solo': '33 PSI', 'trasera_cargada': '36 PSI'}",,"[{'item': 'Aceite de motor', 'accion': 'Reemplazar', 'intervalo': '10,000 km'}, {'item': 'Filtro de aceite', 'accion': 'Reemplazar', 'intervalo': '10,000 km'}, {'item': 'Bujías', 'accion': 'Reemplazar', 'intervalo': '40,000 km'}, {'item': 'Líquido de frenos', 'accion': 'Reemplazar', 'intervalo': '2 años'}, {'item': 'Filtro de aire', 'accion': 'Reemplazar', 'intervalo': '40,000 km'}, {'item': 'Cadena', 'accion': 'Lubricar / ajustar', 'intervalo': '1,000 km'}, {'item': 'Válvulas', 'accion': 'Inspeccionar', 'intervalo': '42,000 km'}]","[{'nombre': 'Chasquido en frío al arrancar', 'sintoma': 'Ruido metálico los primeros segundos', 'solucion': 'Normal en este motor CP2; desaparece al calentar. Verificar nivel de aceite'}, {'nombre': 'Vibración en espejos', 'sintoma': 'Visión borrosa en espejos a ciertas RPM', 'solucion': 'Instalar amortiguadores de espejo o pesos en extremos del manubrio'}, {'nombre': 'Quickshifter inconsistente', 'sintoma': 'Cambios duros o fallo en quickshifter', 'solucion': 'Ajustar sensibilidad en menú TFT; actualizar firmware'}]",2026-07-12T19:41:43.588962+00:00,yamaha,mt-07
yamaha-mt10-2022,Yamaha,MT-10,2022–presente,4.5 L (con filtro),SAE 10W-40 JASO MA/MA2,17 Nm,10000,"{'delantera': '33 PSI', 'trasera_solo': '36 PSI', 'trasera_cargada': '42 PSI'}",,"[{'item': 'Aceite de motor', 'accion': 'Reemplazar', 'intervalo': '10,000 km'}, {'item': 'Filtro de aceite', 'accion': 'Reemplazar', 'intervalo': '10,000 km'}, {'item': 'Bujías', 'accion': 'Reemplazar', 'intervalo': '40,000 km'}, {'item': 'Líquido de frenos', 'accion': 'Reemplazar', 'intervalo': '2 años'}, {'item': 'Filtro de aire', 'accion': 'Reemplazar', 'intervalo': '40,000 km'}, {'item': 'Cadena', 'accion': 'Lubricar / ajustar', 'intervalo': '1,000 km'}, {'item': 'Válvulas', 'accion': 'Inspeccionar', 'intervalo': '42,000 km'}]","[{'nombre': 'Consumo de aceite elevado', 'sintoma': 'Nivel baja entre cambios', 'solucion': 'Normal hasta 0.5L/1000km; verificar fugas y sellos'}, {'nombre': 'Frenada ABS pulsante', 'sintoma': 'Vibración en palanca al frenar fuerte', 'solucion': 'Normal del sistema ABS; limpiar sensores de rueda'}, {'nombre': 'Pantalla TFT con reflejos', 'sintoma': 'Difícil leer con sol directo', 'solucion': 'Usar visera anti-reflejo; ajustar brillo al máximo'}]",2026-07-12T19:41:43.588962+00:00,yamaha,mt-10
yamaha-tracer7-2021,Yamaha,Tracer 7,2021–presente,2.95 L (con filtro),SAE 10W-40 JASO MA/MA2,17 Nm,10000,"{'delantera': '36 PSI', 'trasera_solo': '36 PSI', 'trasera_cargada': '42 PSI'}",,"[{'item': 'Aceite de motor', 'accion': 'Reemplazar', 'intervalo': '10,000 km'}, {'item': 'Filtro de aceite', 'accion': 'Reemplazar', 'intervalo': '10,000 km'}, {'item': 'Bujías', 'accion': 'Reemplazar', 'intervalo': '40,000 km'}, {'item': 'Líquido de frenos', 'accion': 'Reemplazar', 'intervalo': '2 años'}, {'item': 'Filtro de aire', 'accion': 'Reemplazar', 'intervalo': '40,000 km'}, {'item': 'Cadena', 'accion': 'Lubricar / ajustar', 'intervalo': '1,000 km'}]","[{'nombre': 'Vibración en manillar a alta velocidad', 'sintoma': 'Hormigueo en manos >120 km/h', 'solucion': 'Revisar balanceo de rueda delantera; verificar estado neumático'}, {'nombre': 'Ruido en maletas laterales', 'sintoma': 'Vibración/ruido en bolsas', 'solucion': 'Ajustar anclajes; agregar goma anti-vibración en puntos de contacto'}]",2026-07-12T19:41:43.588962+00:00,yamaha,tracer 7
yamaha-yzf-r7-2022,Yamaha,YZF-R7,2022–presente,2.95 L (con filtro),SAE 10W-40 JASO MA/MA2,17 Nm,10000,"{'delantera': '33 PSI', 'trasera_solo': '29 PSI'}",,"[{'item': 'Aceite de motor', 'accion': 'Reemplazar', 'intervalo': '10,000 km'}, {'item': 'Filtro de aceite', 'accion': 'Reemplazar', 'intervalo': '10,000 km'}, {'item': 'Bujías', 'accion': 'Reemplazar', 'intervalo': '40,000 km'}, {'item': 'Líquido de frenos', 'accion': 'Reemplazar', 'intervalo': '2 años'}, {'item': 'Filtro de aire', 'accion': 'Reemplazar', 'intervalo': '40,000 km'}, {'item': 'Cadena', 'accion': 'Lubricar / ajustar', 'intervalo': '500 km (uso deportivo)'}]","[{'nombre': 'Posición deportiva incómoda en ciudad', 'sintoma': 'Dolor de muñecas / espalda en tráfico', 'solucion': 'Normal en supersport; considerar manillares levantados o adaptadores'}, {'nombre': 'Temperatura elevada en piernas', 'sintoma': 'Calor del motor en piernas', 'solucion': 'Verificar deflectores laterales bien colocados; normal en motos deportivas'}]",2026-07-12T19:41:43.588962+00:00,yamaha,yzf-r7
