id,slug,titulo,destino,departamento,km,duracion,dificultad,superficie,mejor_epoca,moto_recomendada,resumen,tips,gasolina_tip,hospedaje,gastronomia,gps_destino,gps_paradas,imagen_url,wp_link,created_at,updated_at,destino_norm,titulo_norm
0015923b-d892-40ab-ae5c-be8461cb5723,medellin-san-pedro-milagros,Medellín – San Pedro de los Milagros,San Pedro de los Milagros,Antioquia,55,1 – 1.5 horas,Principiante,Autopista Norte bien pavimentada.,Todo el año. Frío en San Pedro.,Cualquier moto.,San Pedro de los Milagros es la cuna de los quesos artesanales de Antioquia. Municipio lechero por excelencia a 2.475 msnm. Mercado campesino los domingos. Arquitectura colonial y ambiente rural tranquilo.,Salida por la Autopista Norte. En Copacabana desviar hacia San Pedro. Ruta corta y muy cómoda. Imperdible el mercado de los domingos donde se consiguen quesos frescos y mantequilla artesanal.,Autopista Norte bien surtida. En San Pedro hay estación de servicio.,Hoteles y posadas en el municipio.,"Queso blanco artesanal, mantequilla, leche entera, mazamorra, pandebono.","6.4833,-75.5500","[{'lat': 6.348, 'lon': -75.499, 'nombre': 'Copacabana (desvío San Pedro)'}]",,https://ridera.com.co/rutas/medellin-san-pedro-milagros/,2026-07-22 03:17:08.201261+00,2026-07-22 03:17:08.201261+00,san pedro de los milagros,medellin - san pedro de los milagros
034a2295-fe49-4841-81c2-1d3fc4615233,medellin-bucaramanga,Medellín – Bucaramanga,Bucaramanga,Santander,470,8-9 horas,Experta,Autopista y carreteras nacionales,"Dic-Feb, Jun-Ago",Touring / Adventure 250cc+,"470 km hasta la ""Ciudad bonita"". Ruta de dos días por el Magdalena Medio, con calor extremo en el valle y frío en la meseta santandereana. Bucaramanga es base para Barichara, el Cañón del Chicamocha y San Gil. El Cañón del Chicamocha es uno de los más espectaculares de Colombia.",Dividir en 2 días: parar en La Dorada o Barbosa-Santander. El calor entre Puerto Berrío y La Dorada es brutal (38°C). El Cañón del Chicamocha tiene un teleférico espectacular. Nevá con ropa de capas: Bucaramanga tiene 24°C pero el camino sube y baja.,"Múltiples estaciones. 250cc≈$155k, 500cc≈$230k ida.","En Bucaramanga: Hotel Chicamocha, NH Collection, Dann Carlton. En ruta: opciones en La Dorada.","Cabro en pepitoria, mute santandereano, hormigas culonas, carne oreada, arepa de maíz pelado.","7.1193,-73.1227","[{'km': 130, 'gps': '6.4869,-74.4032', 'nombre': 'Puerto Berrío'}, {'km': 250, 'gps': '5.2018,-74.7382', 'nombre': 'La Dorada'}, {'km': 350, 'gps': '6.6782,-73.6834', 'nombre': 'Barbosa (Santander)'}, {'km': 470, 'gps': '7.1193,-73.1227', 'nombre': 'Bucaramanga'}]",,https://ridera.com.co/rutas/medellin-bucaramanga/,2026-07-14 02:58:56.954987+00,2026-07-14 02:58:56.954987+00,bucaramanga,medellin - bucaramanga
03af6669-f0f3-41df-99a8-6348f7ab2dc6,medellin-el-carmen-viboral,Medellín – El Carmen de Viboral (Cerámica),El Carmen de Viboral,Antioquia,62,1 – 1.5 horas,Principiante,Autopista Las Palmas y vía Rionegro. Excelente pavimento.,Todo el año.,Cualquier moto.,El Carmen de Viboral es la capital artesanal de Antioquia. Famoso en todo Colombia por su cerámica pintada a mano. Clima templado agradable. Parque principal hermoso con casas de colores. Ideal para hacer compras de cerámica y disfrutar del Oriente cercano.,Salida por Las Palmas o autopista Medellín-Bogotá. En Rionegro desviar hacia El Carmen. Ruta muy cómoda. En el municipio hay talleres de cerámica abiertos al público donde se puede ver el proceso artesanal.,Gasolineras en Las Palmas y Rionegro.,Hoteles en el municipio y en Rionegro.,"Mazamorra, pandeyuca, empanadas, frijoles.","6.0667,-75.3333","[{'lat': 6.155, 'lon': -75.377, 'nombre': 'Rionegro (desvío)'}]",,https://ridera.com.co/rutas/medellin-el-carmen-viboral/,2026-07-22 03:17:55.820054+00,2026-07-22 03:17:55.820054+00,el carmen de viboral,medellin - el carmen de viboral (ceramica)
051a3e52-c40b-4499-80b4-0f28047ee8fb,medellin-san-rafael,Medellín – San Rafael,San Rafael,Antioquia,105,2-2.5 horas,Principiante,Pavimentada en buen estado,"Todo el año, mejor Dic-Mar",Cualquier moto 125cc+,"105 km al Oriente antioqueño hasta el municipio de las cascadas y los pozos de agua cristalina. San Rafael tiene más de 50 cascadas catalogadas, pozos naturales de agua transparente y un cañón al Embalse San Lorenzo. Ruta ideal para primer viaje largo.",La vía pasa por El Peñol y San Carlos. Parqueadero en el pueblo o en las fincas turísticas. Los pozos más famosos como La Honda y El Topacio cobran ingreso (≈$15.000). Llevá licuadoras y traje de baño. Evitá diciembre-enero que el nivel de los ríos baja.,"Llená en Medellín o Marinilla. 125cc≈$34k, 200cc≈$42k ida.","Finca Ecoturística El Topacio, Hostal La Cascada, cabañas privadas por la vía. Reservar en temporada.","Trucha con patacones, bandeja paisa, cholados de frutas tropicales, jugos naturales de guanábana y maracuyá.","6.2976,-74.9999","[{'km': 40, 'gps': '6.1558,-75.3718', 'nombre': 'Marinilla'}, {'km': 65, 'gps': '6.1580,-75.1395', 'nombre': 'San Carlos'}, {'km': 105, 'gps': '6.2976,-74.9999', 'nombre': 'San Rafael'}]",,https://ridera.com.co/rutas/medellin-san-rafael/,2026-07-14 02:56:16.898774+00,2026-07-14 02:56:16.898774+00,san rafael,medellin - san rafael
05d4f74d-6392-4056-9bb0-7376a39ec9c5,medellin-la-estrella,Medellín – La Estrella,La Estrella,Antioquia,18,30 min,Principiante,Pavimentada en buen estado,Todo el año,Cualquier moto 100cc+,"La Estrella es un municipio del sur del Valle de Aburrá conocido por su ambiente industrial y el embalse de La Fe, fuente de agua de Medellín. Tranquilo y accesible, con algunos miradores naturales hacia el sur.",Municipio de paso hacia Caldas y el Suroeste. El embalse de La Fe tiene mirador pero no es abierto al público en moto.,Estaciones disponibles en el casco urbano.,No aplica para turismo motorizado independiente.,Restaurantes de corriente y fondas antiqueñas en la vía principal.,,,,https://ridera.com.co/rutas/medellin-la-estrella/,2026-07-22 03:23:33.284692+00,2026-07-22 03:23:33.284692+00,la estrella,medellin - la estrella
072623a4-e4e1-42af-9748-d1a691db9112,medellin-san-agustin-huila,Medellín – San Agustín (Huila),San Agustín,Huila,580,9-10 horas,Experta,"Carreteras nacionales, tramos de montaña","Dic-Feb, Jun-Ago",Adventure / Touring 250cc+,"580 km hasta las estatuas de piedra más misteriosas de América. San Agustín (Patrimonio UNESCO) tiene más de 500 estatuas de culturas precolombinas, el Estrecho del Magdalena y el Desierto de la Tatacoa a 2 horas. Paisaje de páramo, cafetales y el nacimiento del Río Magdalena.",Ruta de 2 días mínimo: parar en Neiva. La vía Pitalito-San Agustín tiene curvas en subida con niebla frecuente. En San Agustín alquilan caballos para ir al Alto de los Ídolos. El Parque Arqueológico cobra ingreso (≈$50.000). Llevá ropa para frío (2.000m de altura).,"Estaciones en ciudades principales. 250cc≈$190k, 400cc≈$265k ida.","En San Agustín: Casa de Francisco, El Maco, Posada de los Ancestros. En Neiva: Hotel Tocarema.","Asado huilense, insulso (bebida de maíz), achiras, bizcochuelo, trucha del río, caldo de costilla.","1.8869,-76.2732","[{'km': 240, 'gps': '3.4516,-76.5319', 'nombre': 'Cali'}, {'km': 380, 'gps': '2.9273,-75.2819', 'nombre': 'Neiva'}, {'km': 470, 'gps': '1.8448,-76.0514', 'nombre': 'Pitalito'}, {'km': 580, 'gps': '1.8869,-76.2732', 'nombre': 'San Agustín'}]",,https://ridera.com.co/rutas/medellin-san-agustin/,2026-07-14 02:58:56.954987+00,2026-07-14 02:58:56.954987+00,san agustin,medellin - san agustin (huila)
0bfa67bf-38fb-4842-949f-26df66a274b6,medellin-maceo,Medellín – Maceo,Maceo,Antioquia,145,3-3.5 horas,Fácil,Pavimentada,Todo el año,Cualquier moto 100cc+,"Maceo es un municipio cálido del Nordeste a orillas del río Nare con paisajes de cañón. Perfecto para quienes buscan calor, piscinas naturales y tranquilidad a pocas horas de Medellín.","Ruta pavimentada y accesible. Clima cálido, llevar hidratación y ropa ligera. Llegar antes del mediodía para aprovechar el río.",Tanquear en Medellín. Hay estaciones en Guarne y Marinilla por la vía alterna.,Hotel El Progreso y hospedajes familiares en el parque.,Pescado frito del río Nare y patacones. La especialidad local es el seco de res.,,,,https://ridera.com.co/rutas/medellin-maceo/,2026-07-22 03:21:50.692836+00,2026-07-22 03:21:50.692836+00,maceo,medellin - maceo
0cdd6319-0456-4246-a433-f345f27efe6d,medellin-salento,Medellín – Salento (Eje Cafetero),Salento,Quindío,280,4.5-5 horas,Intermedia,"Pavimentada, autopista y vías cafeteras","Dic-Feb, Jun-Ago (temporada seca)",Naked / Touring / Adventure 200cc+,"280 km cruzando el Eje Cafetero hasta Salento, el pueblo más colorido de Colombia. Pallillo del Valle del Cocora con palmas de cera de 60 metros, café de finca y calles de colores. Ruta que combina autopista rápida con vías cafeteras de postal.",Salir temprano para llegar fresco. La autopista hasta Manizales o Armenia es rápida. El Valle del Cocora está a 12 km de Salento en jeep Willys (≈$5.000). Guardá combustible desde Armenia/Pereira porque en Salento solo hay una estación. El frío en el Valle del Cocora es real: llevá capas.,"Estaciones en autopista y en Armenia/Pereira. 200cc≈$92k, 300cc≈$120k ida.","La Serrana Eco-Hostel, Hotel El Refugio, Plantation House. Reservar con semanas, especialmente en Semana Santa y Navidad.","Trucha del río, bandeja paisa, arepas con hogao, café de origen en finca. Waffles en el parque de Salento.","4.6377,-75.5640","[{'km': 100, 'gps': '5.0703,-75.5140', 'nombre': 'Manizales'}, {'km': 200, 'gps': '4.8140,-75.6961', 'nombre': 'Pereira'}, {'km': 245, 'gps': '4.5339,-75.6811', 'nombre': 'Armenia'}, {'km': 280, 'gps': '4.6377,-75.5640', 'nombre': 'Salento'}]",,https://ridera.com.co/rutas/medellin-salento/,2026-07-14 02:56:16.898774+00,2026-07-14 02:56:16.898774+00,salento,medellin - salento (eje cafetero)
0cf458d1-9437-45c1-a30c-bfd5f1e47727,medellin-narino-ant,Medellín – Nariño (Antioquia),Nariño,Antioquia,120,2.5 horas,Intermedia,Pavimentada con curvas,Todo el año,Naked / Sport / Adventure 150cc+,Nariño antioqueño (no confundir con el departamento) es un municipio del Oriente con paisajes de montaña y clima templado. Pueblo tranquilo ideal para escapar del ruido. Ruta sinuosa con buenas curvas desde La Unión.,"Municipio poco visitado por turistas, perfecto para quien busca autenticidad sin multitudes.",Tanquear en Medellín o en La Unión.,Hospedajes básicos disponibles en el parque.,Comida casera campesina. Frijoles antioqueños y mazamorra.,,,,https://ridera.com.co/rutas/medellin-narino-ant/,2026-07-22 03:24:46.238304+00,2026-07-22 03:24:46.238304+00,narino,medellin - narino (antioquia)
0eb7ca10-e63f-425e-ae5c-1649528cd41b,medellin-buritica,Medellín – Buriticá (Minas de Oro),Buriticá,Antioquia,98,2 – 2.5 horas,Intermedia,Autopista al Mar + carretera departamental sinuosa. Pavimento en buen estado.,"Temporada seca (enero-febrero, julio-agosto). Evitar lluvias.",Cualquier moto con buena guarda-barro. Trail o enduro ideal.,Buriticá es el municipio minero por excelencia de Antioquia. Famoso por sus minas de oro artesanales en la cima de la montaña. Subida espectacular con vistas al cañón del Cauca. Pueblo histórico colonial rodeado de montañas. Vista del embalse de Ituango desde las alturas.,"Salir por la autopista al Mar. En Santafé de Antioquia, desviar hacia el Norte por la vía a Buriticá. La subida al pueblo es larga y con curvas. El panorama desde arriba es impresionante. Llevar chaqueta de frío.",Gasolineras en autopista al Mar y en Santa Fe de Antioquia. En Buriticá disponibilidad limitada.,Posadas locales en el pueblo. Se recomienda ir de día.,"Frijoles, mazamorra, sancocho, chicharrón, aguapanela.","6.7333,-75.9000","[{'lat': 6.555, 'lon': -75.826, 'nombre': 'Santa Fe de Antioquia (desvío norte)'}, {'lat': 6.68, 'lon': -75.888, 'nombre': 'Cañón del Cauca vista'}]",,https://ridera.com.co/rutas/medellin-buritica/,2026-07-22 03:16:31.82308+00,2026-07-22 03:16:31.82308+00,buritica,medellin - buritica (minas de oro)
