id,nombre,subregion,zona_dificultad,puntos_sello,es_fluvial,lat,lon,historia
taraza,Tarazá,Bajo Cauca,Lejana,40,False,7.583,-75.4,"Puerta del Bajo Cauca sobre la troncal, entre serranías que bajan del Nudo de Paramillo. Sus cañaduzales y su río marcan el cambio de la montaña paisa a la llanura caribeña."
zaragoza,Zaragoza,Bajo Cauca,Lejana,40,False,7.489,-74.867,"Fundada en 1581 sobre el río Nechí, vivió siglos de oro y comercio fluvial. Pueblo caluroso y bravo donde la historia minera de Antioquia se siente en cada calle."
caracoli,Caracolí,Magdalena Medio,Lejana,40,False,6.409,-74.757,Pueblito del Magdalena Medio que huele a café y a rieles: por aquí pasó el ferrocarril que conectó a Antioquia con el río grande. Sus cascadas y charcos son premio seguro para el rider.
maceo,Maceo,Magdalena Medio,Lejana,40,False,6.552,-74.787,"Entre la montaña y la llanura del Magdalena, Maceo guarda bosques, ríos cristalinos y la memoria del tren. Tierra de ganado y de gente amable que recibe al motero con tinto y sombra."
puerto-berrio,Puerto Berrío,Magdalena Medio,Lejana,40,False,6.487,-74.405,"El gran puerto antioqueño sobre el río Magdalena, clave en la historia del ferrocarril y la navegación a vapor. Su malecón, su calor y su música ribereña son otra Antioquia: la del río."
puerto-nare,Puerto Nare,Magdalena Medio,Lejana,40,False,6.191,-74.585,"Donde el río Nare se encuentra con el Magdalena. Puerto cementero y ganadero de clima ardiente, con ciénagas llenas de manatíes y una historia ligada a la navegación fluvial."
puerto-triunfo,Puerto Triunfo,Magdalena Medio,Lejana,40,False,5.872,-74.64,"Sobre el Magdalena y la autopista Medellín-Bogotá, es la puerta de Antioquia hacia el río. Famoso por las cavernas del Río Claro cerca y por Doradal y su historia de la hacienda Nápoles."
yondo,Yondó,Magdalena Medio,Lejana,40,False,7.004,-73.91,"Al otro lado del Magdalena, frente a Barrancabermeja: el municipio más oriental de Antioquia. Tierra petrolera y ciénaga pura; llegar en moto exige cruzar medio departamento y ganárselo."
amalfi,Amalfi,Nordeste,Media,30,False,6.91,-75.077,"Cuna del expresidente y tierra de café, caña y minería. Sus montañas del Nordeste guardan trochas legendarias y uno de los pueblos con más orgullo arriero de Antioquia."
anori,Anorí,Nordeste,Media,30,False,7.075,-75.148,"Encaramado en montañas que caen al río Porce, Anorí es bosque, agua y niebla. Uno de los municipios más biodiversos del Nordeste, con carreteras que ponen a prueba a cualquier piloto."
